sample_id,noise_type,snr_in_target,SNR_in,SNR_out,SNR_imp,PRD,RMSE
800,MA+EM,10,15.464798214536163,23.50094010000356,8.036141885467398,6.6827158460737,0.01928655763867688
801,EM,10,12.67056669368229,27.342083800985325,14.671517107303035,4.294333905637776,0.03412920571308861
802,MA+EM+BW,5,13.216441536273216,25.535592769084108,12.319151232810892,5.287134535727737,0.024901702447059956
803,BW+MA,10,15.33410593805949,27.50441688355208,12.170310945492588,4.2148211999359795,0.011761895908608523
804,EM,7,13.69539840077021,23.384884532411032,9.689486131640821,6.772605412921397,0.03333196710356594
805,BW+EM,10,15.717616128804853,22.3532631356563,6.635647006851446,7.626703155380049,0.017934943633781866
806,EM,0,8.513396608160699,21.725231876619247,13.211835268458548,8.198575608827356,0.023563951120415202
807,MA,7,12.806200274522348,24.332220729613134,11.526020455090785,6.072799791674269,0.01728119004610683
808,BW+MA,0,8.299928080372146,22.874653407680444,14.574725327308299,7.182362649793063,0.019259951702036752
809,MA,5,11.430143540113018,28.619454004895275,17.189310464782256,3.7070402350861564,0.02801853916170337
810,EM,0,7.233783761828908,18.402607978424157,11.16882421659525,12.019035033642842,0.03013014268884642
811,EM,0,5.042252622796529,19.07853252660821,14.036279903811682,11.11919569243582,0.08401625170846502
812,EM,0,6.104684697155669,17.699523275705545,11.594838578549876,13.032383046099957,0.030830032443536104
813,BW+EM,0,4.569336728928059,17.708933953444827,13.139597224516768,13.018270831072495,0.02845728569557773
814,MA,5,12.272754357948594,25.578113151084786,13.305358793136191,5.261315463275256,0.027569190123690003
815,MA+EM,0,9.950797244068593,21.466335174189744,11.515537930121152,8.446625540775027,0.04772279805301014
816,MA+EM+BW,7,13.58704345949226,29.701360161844008,16.114316702351747,3.2728943916609325,0.012354115027860012
817,MA,5,10.762983610056482,23.20454998002475,12.44156636996827,6.914686599866537,0.01789043756921054
818,EM,0,6.391871925431665,19.74062499658977,13.348753071158104,10.30311981272272,0.0223657757397892
819,MA,10,15.224536383141004,27.026520913189593,11.801984530048589,4.453217984754629,0.018329841041439796
820,BW,7,11.340118849606796,24.564028715489723,13.223909865882927,5.912873178988249,0.014703362490816834
821,BW,10,13.14020520349543,32.39407162204611,19.253866418550682,2.400470752687796,0.019021466487695586
822,MA,0,9.684623313573288,26.73506953810937,17.05044622453608,4.60517907973021,0.0176553663895185
823,MA,5,12.135869161756656,22.929965250235487,10.794096088478831,7.136770603349175,0.02118711961547438
824,MA,5,12.996127091777991,28.686149321842727,15.690022230064736,3.678684427707096,0.014088624824394835
825,EM,5,12.165969464928812,20.577581343958546,8.411611879029733,9.356661816722504,0.04912099344790705
826,EM,5,12.403021102111477,26.646130525701324,14.243109423589846,4.652575974694492,0.016123320963103815
827,BW+MA,5,8.897208034306164,20.73849559656102,11.841287562254855,9.18491666241883,0.019718674378235917
828,EM,5,11.711893421699395,25.737785401751026,14.02589198005163,5.165480541821009,0.02862254277499269
829,BW+EM,0,8.83504687099064,24.767191838136085,15.932144967145446,5.776175872097386,0.027388372646573844
830,MA,10,16.742178045590627,25.903813241143396,9.161635195552769,5.067681802895266,0.021240631103951677
831,MA,0,6.710395474135401,21.751901905956462,15.04150643182106,8.17344048596153,0.05757067205891193
832,BW+EM,7,11.549087417956477,27.61078588082812,16.061698462871647,4.163520486727389,0.010692791431035643
833,BW,7,11.563869488620998,22.325664611843376,10.761795123222377,7.650974762587786,0.01947444010706556
834,EM,10,13.948223497950831,28.438150252247326,14.489926754296494,3.7852318646240315,0.02827438826961862
835,EM,5,9.388737209711351,25.22517583495604,15.83643862524469,5.479503494719972,0.018614733344620514
836,EM,5,12.030388254334605,25.19343357490577,13.163045320571166,5.499564770343239,0.021087143379335503
837,BW+EM,7,11.864228130176585,19.910235859652744,8.046007729476159,10.103880637286014,0.06057875863002632
838,MA,5,11.300519515985712,24.43507771159041,13.134558195604697,6.001310738251192,0.04002242912085551
839,EM,7,13.007294177916771,26.930565200785722,13.923271022868951,4.502686808360881,0.016066515479570824
840,BW+MA,0,7.937186138130373,18.032671252458304,10.09548511432793,12.541989630637696,0.029724886457996296
841,EM,0,7.280138710202566,18.93472487372867,11.654586163526103,11.30482272258189,0.086572453239419
842,MA+EM,0,8.756844522021467,24.105515115908865,15.348670593887398,6.233389200169917,0.020990236479837648
843,EM,0,8.735852009851229,24.124366790361634,15.388514780510405,6.219875052443479,0.021741545008886243
844,MA+EM+BW,5,10.626843079221114,26.908986078485334,16.28214299926422,4.513887137857737,0.021818582026321212
845,EM,0,6.848423904897177,21.43496666889454,14.586542763997361,8.477185108597084,0.019705129382842315
846,BW+EM,5,13.81176473873383,25.23776984099249,11.426005102258662,5.471564308545354,0.03436212073957446
847,MA+EM+BW,5,10.14672572186063,24.952174166610952,14.805448444750322,5.654462024321022,0.031548750050478934
848,MA,0,8.71644681208894,23.329179489026252,14.612732676937313,6.816179606013592,0.024450320381154803
849,EM,5,12.33962273361608,21.513589061986444,9.173966328370364,8.400798093287086,0.03584104188896369
850,EM,5,12.37538602009147,24.568981640438487,12.193595620347017,5.9095024627966355,0.014043798448518155
851,MA,10,16.948432328587064,32.72777783085043,15.779345502263364,2.3099953648684424,0.010983325685237225
852,EM,5,11.812483001172033,27.93182055048971,16.119337549317677,4.012443891778462,0.012645596955551893
853,MA+EM,10,14.948679511765699,23.979975377982086,9.031295866216388,6.324136440858498,0.037933548853104765
854,BW+MA,5,9.012335805738685,21.568108735907355,12.55577293016867,8.34823302769138,0.018102140436356887
855,EM,10,14.919347455013547,23.30055233267754,8.381204877663993,6.838681589622188,0.02550149211790972
856,MA,5,11.82466673003612,26.34535729173253,14.52069056169641,4.816506330307398,0.015246260240296725
857,MA+EM+BW,0,9.046574353310225,14.118663097577988,5.072088744267763,19.681892033442935,0.07170594882969916
858,BW+EM,10,13.093904979512716,25.381446380604448,12.287541401091731,5.381801569065164,0.012207004271635817
859,EM,5,12.668113858231184,25.91993531538138,13.251821457150196,5.058284289398981,0.025115200471672677
860,BW+MA,10,19.438545031100155,28.292241332647258,8.853696301547103,3.8493547197434217,0.01904726386871955
861,EM,5,10.022138387276767,28.250468291723834,18.228329904447065,3.8679120058027476,0.032133142030581444
862,MA,5,10.514336334010583,19.31925608049043,8.804919746479847,10.815265767284519,0.01963526405127833
863,MA,0,9.567909302891707,20.72277789193572,11.154868589044014,9.201552437428411,0.033798934810867425
864,EM,10,13.2680204109648,27.18124358174457,13.913223170779771,4.374594684477216,0.031087949322414113
865,MA+EM,10,16.21613566594792,31.158498401224605,14.942362735276685,2.7674200299547134,0.019973030312145316
866,MA,0,7.480121517881293,25.817391484792193,18.3372699669109,5.118355250696355,0.03979792742379362
867,MA,0,6.942944916646663,21.710213512868805,14.767268596222141,8.212763643178704,0.01929898317020758
868,MA,5,11.531593905050165,21.311104907170378,9.779511002120213,8.598936753170424,0.02471820810871805
869,MA,5,10.871747736742918,20.83575516094499,9.964007424202073,9.082642951787602,0.023078611236447753
